name,fiscal_year,total,month_name,month,fiscal_month,year,date
real_estate,2023,6618238.0,nov,11,5,2022,2022-11-01
school_income,2023,657727.0,nov,11,5,2022,2022-11-01
use_and_occupancy,2023,14877661.0,nov,11,5,2022,2022-11-01
liquor,2023,8877867.0,nov,11,5,2022,2022-11-01
other_nontax,2023,0.0,nov,11,5,2022,2022-11-01
total_revenue,2023,31031493.0,nov,11,5,2022,2022-11-01
liquor,2023,7567664.0,oct,10,4,2022,2022-10-01
use_and_occupancy,2023,13433179.0,oct,10,4,2022,2022-10-01
school_income,2023,4207826.0,oct,10,4,2022,2022-10-01
real_estate,2023,4379782.0,oct,10,4,2022,2022-10-01
other_nontax,2023,-30108.0,oct,10,4,2022,2022-10-01
total_revenue,2023,29558343.0,oct,10,4,2022,2022-10-01
real_estate,2023,6407270.0,sep,9,3,2022,2022-09-01
school_income,2023,471298.0,sep,9,3,2022,2022-09-01
liquor,2023,5651634.0,sep,9,3,2022,2022-09-01
other_nontax,2023,51842.0,sep,9,3,2022,2022-09-01
use_and_occupancy,2023,14446757.0,sep,9,3,2022,2022-09-01
total_revenue,2023,27028802.0,sep,9,3,2022,2022-09-01
use_and_occupancy,2023,15327009.0,aug,8,2,2022,2022-08-01
real_estate,2023,12996589.0,aug,8,2,2022,2022-08-01
total_revenue,2023,37299695.0,aug,8,2,2022,2022-08-01
other_nontax,2023,0.0,aug,8,2,2022,2022-08-01
liquor,2023,7693414.0,aug,8,2,2022,2022-08-01
school_income,2023,1282683.0,aug,8,2,2022,2022-08-01
total_revenue,2023,37422328.0,jul,7,1,2022,2022-07-01
other_nontax,2023,1213559.0,jul,7,1,2022,2022-07-01
liquor,2023,7292286.0,jul,7,1,2022,2022-07-01
use_and_occupancy,2023,14504448.0,jul,7,1,2022,2022-07-01
school_income,2023,361867.0,jul,7,1,2022,2022-07-01
real_estate,2023,14050168.0,jul,7,1,2022,2022-07-01
use_and_occupancy,2022,15018300.0,jun,6,12,2022,2022-06-01
liquor,2022,6482521.0,jun,6,12,2022,2022-06-01
other_nontax,2022,949045.0,jun,6,12,2022,2022-06-01
total_revenue,2022,30288851.0,jun,6,12,2022,2022-06-01
school_income,2022,2784216.0,jun,6,12,2022,2022-06-01
real_estate,2022,5054769.0,jun,6,12,2022,2022-06-01
real_estate,2022,12108575.0,may,5,11,2022,2022-05-01
other_nontax,2022,95217.0,may,5,11,2022,2022-05-01
school_income,2022,31773968.0,may,5,11,2022,2022-05-01
use_and_occupancy,2022,15806091.0,may,5,11,2022,2022-05-01
liquor,2022,6918503.0,may,5,11,2022,2022-05-01
total_revenue,2022,66702354.0,may,5,11,2022,2022-05-01
school_income,2022,19160289.0,apr,4,10,2022,2022-04-01
real_estate,2022,216957301.0,apr,4,10,2022,2022-04-01
total_revenue,2022,261903941.0,apr,4,10,2022,2022-04-01
