name,may_fy16,may_fy15,fy16_ytd,fy15_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,10708259.0,8464592.0,634837192,590783330,44053862.0,1394808.0,99.78,current
real_estate,6018799.0,4353217.0,63339324,53973156,9366168.0,-6339324.0,111.12,prior
real_estate,16727058.0,12817809.0,698176516,644756486,53420030.0,-4944516.0,100.71,total
school_income,77130.0,,2079611,1992854,86757.0,2964389.0,41.23,current
school_income,6515178.0,916881.0,33543442,31345650,2197792.0,-443442.0,101.34,prior
school_income,613643.0,613396.0,6222449,12753870,-6531421.0,1977551.0,75.88,total
use_and_occupancy,7128821.0,1530277.0,39765891,44099520,-4333629.0,1534109.0,96.29,current
use_and_occupancy,10257313.0,7696870.0,121001399,109055336,11946063.0,9198601.0,92.94,prior
use_and_occupancy,272397.0,765899.0,6866269,6118353,747916.0,-266269.0,104.03,total
liquor,10529710.0,8462769.0,127867668,115173689,12693979.0,8932332.0,93.47,current
liquor,6076561.0,5365389.0,53027420,48631997,4395423.0,2572580.0,95.37,prior
liquor,686183.0,768943.0,6237827,6160409,,,,total
pilots,6762744.0,6134332.0,59265247,54792406,4472841.0,1934753.0,96.84,total
other_nontax,,,1933056,3876777,-1943721.0,,,total
total_revenue,41225463.0,28945187.0,929087989,864691732,64396257.0,8488011.0,99.09,total
