name,jun_fy17,jun_fy16,fy17_ytd,fy16_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,3401451.0,3673832.0,658099796,638511024,,,101.45,current
real_estate,1908754.0,1386600.0,55263482,64725923,,-94624415053518.0,91.62,prior
real_estate,5310205.0,5060432.0,713363278,703236947,,,100.61,total
school_income,1297649.0,1097400.0,3335493,3177011,158482.0,3704507.0,47.38,current
school_income,342197.0,406883.0,36931930,33950325,2981605.0,178070.0,99.52,prior
school_income,456200.0,112604.0,5098333,6335053,-1236720.0,-758333.0,117.47,total
use_and_occupancy,798397.0,519487.0,42030263,40285378,1744885.0,-580263.0,101.4,current
use_and_occupancy,11764812.0,10571499.0,130950342,131572898,,,102.15,prior
use_and_occupancy,1003972.0,499084.0,7650981,7365353,285628.0,-850981.0,112.51,total
liquor,12768784.0,11070583.0,138601323,138938251,,,102.67,current
liquor,6305464.0,5984673.0,63618915,59012093,4606822.0,881085.0,98.63,prior
liquor,776560.0,655876.0,9264216,6893703,2370513.0,-464216.0,105.28,total
pilots,7082024.0,6640549.0,72883131,65905796,6977335.0,416869.0,99.43,total
other_nontax,,,3861494,1933056,1928438.0,,,total
total_revenue,27257059.0,24388451.0,974074982,953476439,20598543.0,-8257982.0,100.86,total
