name,jul_fy18,jul_fy17,fy18_ytd,fy17_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,6710226.0,5472803.0,6710226.0,5472803.0,1237423.0,725419774.0,0.92,current
real_estate,4534263.0,4062327.0,4534263.0,4062327.0,471936.0,55455737.0,7.56,prior
real_estate,11244489.0,9535130.0,11244489.0,9535130.0,1709359.0,780875511.0,1.42,total
school_income,25709.0,211934.0,25709.0,211934.0,-186225.0,3158291.0,0.81,current
school_income,488045.0,244656.0,488045.0,244656.0,243389.0,37721955.0,1.28,prior
school_income,248545.0,166868.0,248545.0,166868.0,81677.0,2991455.0,7.67,total
use_and_occupancy,736590.0,411524.0,736590.0,411524.0,325066.0,40713410.0,1.78,current
use_and_occupancy,18965636.0,14858592.0,18965636.0,14858592.0,4107044.0,122634364.0,13.39,prior
use_and_occupancy,1064880.0,317940.0,1064880.0,317940.0,746940.0,5735120.0,15.66,total
liquor,20030516.0,15176532.0,20030516.0,15176532.0,4853984.0,128369484.0,13.5,current
liquor,5546193.0,5046611.0,5546193.0,5046611.0,499582.0,59753807.0,8.49,prior
liquor,809450.0,429048.0,809450.0,429048.0,380402.0,7690550.0,9.52,total
other_nontax,6355643.0,5475659.0,6355643.0,5475659.0,879984.0,67444357.0,8.61,total
total_revenue,38392947.0,30810779.0,38392947.0,30810779.0,7582168.0,1020561053.0,3.63,total
