name,nov_fy18,nov_fy17,fy18_ytd,fy17_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,4203757.0,-168054.0,24321004,23795472,525532.0,707808996.0,3.32,current
real_estate,4823213.0,-1672620.0,19962562,22628622,-2666060.0,40027438.0,33.28,prior
real_estate,9026970.0,-1840674.0,44283566,46424094,,-2140528747836434.0,5.59,total
school_income,,,1108991,298171,810820.0,2075009.0,34.83,current
school_income,1050471.0,-954021.0,2758203,2257696,500507.0,35451797.0,7.22,prior
school_income,132371.0,53097.0,1077815,1086488,-8673.0,2162185.0,33.27,total
use_and_occupancy,1182842.0,-900924.0,3836018,3344184,491834.0,37613982.0,9.25,current
use_and_occupancy,10066834.0,3086978.0,74740347,56473518,18266829.0,66859653.0,52.78,prior
use_and_occupancy,307346.0,-31474.0,2923826,2418078,505748.0,3876174.0,43.0,total
liquor,10374180.0,3055504.0,77664173,58891596,18772577.0,70735827.0,52.33,current
liquor,4819251.0,1553570.0,29498348,25237500,4260848.0,35801652.0,45.17,prior
liquor,192804.0,101846.0,2919973,1957768,962205.0,5580027.0,34.35,total
pilots,5012055.0,1655416.0,32418321,27195268,5223053.0,41381679.0,43.93,total
other_nontax,,,4619,4619,,,,total
total_revenue,25596047.0,1969322.0,159315688,136157932,23157756.0,899638312.0,15.04,total
