name,dec_fy18,dec_fy17,fy18_ytd,fy17_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,38538259.0,,62859263,37645430,25213833.0,669270737.0,8.59,current
real_estate,3229686.0,3814504.0,23192248,26443127,-3250879.0,36797752.0,38.66,prior
real_estate,41767945.0,,86051511,64088557,21962954.0,706068489.0,10.86,total
school_income,,,1108991,298171,810820.0,2075009.0,34.83,current
school_income,3954837.0,1397955.0,6713040,3655650,3057390.0,31496960.0,17.57,prior
school_income,1183608.0,64791.0,2261424,1151279,1110145.0,978576.0,69.8,total
use_and_occupancy,5138445.0,1462746.0,8974464,4806929,4167535.0,32475536.0,21.65,current
use_and_occupancy,14594814.0,,89335161,67021164,22313997.0,52264839.0,63.09,prior
use_and_occupancy,306140.0,277403.0,3229966,2695481,534485.0,3570034.0,47.5,total
liquor,14900954.0,10825049.0,92565127,69716645,22848482.0,55834873.0,62.38,current
liquor,3990514.0,5711315.0,33488862,30948816,2540046.0,31811138.0,51.28,prior
liquor,302961.0,531108.0,3222934,2488876,734058.0,5277066.0,37.92,total
pilots,4293475.0,6242423.0,36711796,33437692,3274104.0,37088204.0,49.74,total
other_nontax,,,4619,4619,,,,total
total_revenue,66100819.0,36194680.0,225416508,172352613,53063895.0,833537492.0,21.29,total
