name,feb_fy18,feb_fy17,fy18_ytd,fy17_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,413938076.0,336544097.0,551185419,429671652,121513767.0,180944581.0,75.0,current
real_estate,7553437.0,5414633.0,34329843,35937962,1608119.0,25660157.0,57.0,prior
real_estate,421491513.0,341958730.0,585515262,465609614,119905648.0,206604738.0,74.0,total
school_income,,38899.0,1108991,356086,752905.0,2075009.0,35.0,current
school_income,13065.0,51013.0,11477839,5392578,6085261.0,26732161.0,30.0,prior
school_income,350036.0,350172.0,3414537,1955508,1459029.0,174537.0,105.0,total
use_and_occupancy,363101.0,401185.0,14892376,7348086,7544290.0,26557624.0,36.0,current
use_and_occupancy,12492819.0,8766947.0,114645572,85726230,28919342.0,26954428.0,81.0,prior
use_and_occupancy,916229.0,1038589.0,4988020,4428237,559783.0,1811980.0,73.0,total
liquor,13409048.0,9805536.0,119633592,90154467,29479125.0,28766408.0,81.0,current
liquor,4278251.0,3763243.0,45325843,39464265,5861578.0,19974157.0,69.0,prior
liquor,820470.0,1216954.0,5252612,5233360,19252.0,3247388.0,62.0,total
pilots,5098721.0,4980197.0,50578455,44697625,5880830.0,23221545.0,69.0,total
other_nontax,,,4619,4619,,,,total
total_revenue,440362383.0,357184547.0,771733295,608170497,163562798.0,287220705.0,73.0,total
