name,jun_fy18,jun_fy17,fy18_ytd,fy17_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,4389089.0,3401451.0,740997682.0,658099796.0,82897886.0,-1807682.0,100.0,current
real_estate,-524674.0,1908754.0,48190020.0,55263482.0,-7073462.0,-1578020.0,103.0,prior
real_estate,3864415.0,5310205.0,789187702.0,713363278.0,75824424.0,-3385702.0,100.0,total
school_income,,1297649.0,4548431.0,7192368.0,-2643937.0,-1317431.0,141.0,current
school_income,303714.0,342197.0,43379451.0,36931930.0,6447521.0,-3779451.0,110.0,prior
school_income,-117628.0,456200.0,4935283.0,5098333.0,-163050.0,-135283.0,103.0,total
use_and_occupancy,186086.0,798397.0,48314734.0,42030263.0,6284471.0,-3914734.0,109.0,current
use_and_occupancy,14508421.0,11764812.0,168202637.0,130950342.0,37252295.0,1697363.0,99.0,prior
use_and_occupancy,445921.0,1003972.0,7312133.0,7650981.0,-338848.0,1487867.0,83.0,total
liquor,14954342.0,12768784.0,175514770.0,138601323.0,36913447.0,3185230.0,98.0,current
liquor,6253010.0,6305464.0,69573506.0,63618915.0,5954591.0,226494.0,100.0,prior
liquor,284348.0,776560.0,7247343.0,9264216.0,-2016873.0,852657.0,89.0,total
pilots,6537358.0,7082024.0,76820849.0,72883131.0,3937718.0,1079151.0,99.0,total
other_nontax,4619.0,,9239.0,4619.0,4620.0,,,total
total_revenue,25546820.0,27257059.0,1094395725.0,974074982.0,120320743.0,-4362725.0,100.0,total
