name,sep_fy19,sep_fy18,fy19_ytd,fy18_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,4318228.0,3868341.0,17147232.0,16434873.0,712359.0,749795207.0,2.0,current
real_estate,3555757.0,4106154.0,12967270.0,13257308.0,-290038.0,33882952.0,28.0,prior
real_estate,7873985.0,7974495.0,30114502.0,29692181.0,422321.0,783678159.0,4.0,total
school_income,-1288406.0,24377.0,671914.0,1051136.0,-379222.0,2559086.0,21.0,current
school_income,314690.0,465089.0,1379351.0,1312458.0,66893.0,37320649.0,4.0,prior
school_income,137077.0,160941.0,608121.0,670069.0,-61948.0,3491879.0,15.0,total
use_and_occupancy,451767.0,626030.0,1987472.0,1982527.0,4945.0,40812528.0,5.0,current
use_and_occupancy,15546526.0,13235005.0,51479705.0,46964603.0,4515102.0,115344295.0,31.0,prior
use_and_occupancy,297537.0,192812.0,1296264.0,1749255.0,-452991.0,7503736.0,15.0,total
liquor,15844063.0,13427817.0,52775969.0,48713858.0,4062111.0,122848031.0,30.0,current
liquor,4419319.0,5962672.0,17233178.0,17459170.0,-225992.0,54966822.0,24.0,prior
liquor,202464.0,467238.0,935202.0,2143319.0,-1208117.0,7164798.0,12.0,total
other_nontax,4621783.0,6429910.0,18168380.0,19602489.0,-1434109.0,62131620.0,23.0,total
total_revenue,27503192.0,28482629.0,103718237.0,101042191.0,2676046.0,1012029424.0,9.0,total
