name,aug_fy20,aug_fy19,fy20_ytd,fy19_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,6867097.0,6609432.0,13865418.0,12829004.0,1036414.0,788469582.0,2.0,current
real_estate,4451701.0,5009783.0,8026446.0,9411513.0,1385067.0,37652554.0,18.0,prior
real_estate,11318798.0,11619215.0,21891864.0,22240517.0,348653.0,826122136.0,3.0,total
school_income,54525.0,,404723.0,1960320.0,1555597.0,4985277.0,8.0,current
school_income,716921.0,606602.0,1120823.0,1064660.0,56163.0,46620177.0,2.0,prior
school_income,71399.0,284447.0,261111.0,471044.0,209933.0,3038889.0,8.0,total
use_and_occupancy,788320.0,891049.0,1381934.0,1535704.0,153770.0,49659066.0,3.0,current
use_and_occupancy,15026813.0,14483912.0,33158697.0,35933179.0,2774482.0,144181303.0,19.0,prior
use_and_occupancy,1058703.0,403182.0,1487364.0,998727.0,488637.0,6312636.0,19.0,total
liquor,16085516.0,14887094.0,34646061.0,36931906.0,2285845.0,150493939.0,19.0,current
liquor,6607360.0,6373935.0,13908449.0,12813859.0,1094590.0,62041551.0,18.0,prior
liquor,298981.0,358904.0,656660.0,732738.0,76078.0,5001340.0,12.0,total
other_nontax,6906341.0,6732839.0,14565109.0,13546597.0,1018512.0,67042891.0,18.0,total
total_revenue,35153500.0,34130197.0,72889691.0,76215044.0,3325353.0,1098303309.0,6.0,total
