name,jan_fy20,jan_fy19,fy20_ytd,fy19_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,76518718.0,60218623.0,139788220,107627880.0,32160340,662546780.0,17.0,current
real_estate,2308201.0,3327217.0,23046299,28121308.0,5075009,22632701.0,50.0,prior
real_estate,78826919.0,63545840.0,162834519,135749188.0,27085331,685179481.0,19.0,total
school_income,41153.0,43360.0,503916,2388998.0,1885082,4886084.0,9.0,current
school_income,265696.0,43149.0,4950767,3745965.0,1204802,42790233.0,10.0,prior
school_income,310792.0,468377.0,932005,1606189.0,674184,2367995.0,28.0,total
use_and_occupancy,576488.0,511526.0,5882772,5352154.0,530618,45158228.0,12.0,current
use_and_occupancy,19976589.0,12995214.0,111214406,105371872.0,5842534,66125594.0,63.0,prior
use_and_occupancy,2231452.0,1182185.0,5145777,3816946.0,1328831,2654223.0,66.0,total
liquor,22208041.0,14177399.0,116360183,109188818.0,7171365,68779817.0,63.0,current
liquor,6887084.0,5867560.0,47577579,42184757.0,5392822,28372421.0,63.0,prior
liquor,1074713.0,1221143.0,2631952,3011539.0,379587,3026048.0,47.0,total
pilots,7961797.0,7088703.0,50209531,45196296.0,5013235,31398469.0,62.0,total
other_nontax,,,2557,,2557,,,total
total_revenue,109614398.0,85366828.0,335793478,297875454.0,37918024,835399522.0,29.0,total
