name,mar_fy20,mar_fy19,fy20_ytd,fy19_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,131414551.0,170863805.0,779238047,750079754.0,29158293,28641953,96.0,current
real_estate,2864700.0,5573677.0,31778207,37458213.0,5680005,12986793,71.0,prior
real_estate,134279251.0,176437482.0,811016254,787537967.0,23478288,41628746,95.0,total
school_income,1993281.0,2477628.0,7223318,6447962.0,775356,42197469,15.0,current
school_income,120429.0,219105.0,1287914,2489101.0,1201187,848267,60.0,prior
school_income,2113710.0,2696734.0,8511232,8937063.0,425831,43045736,17.0,total
use_and_occupancy,14046890.0,14331377.0,140044840,133399472.0,6645368,33755160,81.0,current
use_and_occupancy,593349.0,806410.0,6663424,5872334.0,791091,2323495,74.0,prior
use_and_occupancy,14640239.0,15137788.0,146708265,139271806.0,7436459,36078654,80.0,total
liquor,3498744.0,5834251.0,55632443,52643754.0,2988690,13462620,81.0,current
liquor,766287.0,922552.0,4612301,4688602.0,76301,607722,88.0,prior
liquor,4265032.0,6756803.0,60244744,57332355.0,2912389,14070342,81.0,total
pilots,1160770.0,1665188.0,1830794,4760166.0,2929373,3559206,34.0,total
other_nontax,,,2557,,2557,2557,,total
total_revenue,156459002.0,202693995.0,1028313847,997839358.0,30474489,138380126,88.0,total
