name,apr_fy20,apr_fy19,fy20_ytd,fy19_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,17030570.0,32501684.0,796268618,782581438.0,13687180,1140618,100.0,current
real_estate,2113810.0,6261756.0,33892018,43719969.0,9827951,10872982,76.0,prior
real_estate,19144381.0,38763440.0,830160635,826301407.0,3859228,9732365,99.0,total
school_income,19684048.0,32704132.0,26907366,39152094.0,12244727,22513421,54.0,current
school_income,129445.0,248818.0,1417359,2737919.0,1320559,718822,66.0,prior
school_income,19813494.0,32952949.0,28324726,41890013.0,13565287,23232242,55.0,total
use_and_occupancy,10642729.0,13585750.0,150687569,146985222.0,3702347,8086128,106.0,current
use_and_occupancy,332729.0,976547.0,6996153,6848880.0,147273,1990766,78.0,prior
use_and_occupancy,10975458.0,14562297.0,157683722,153834102.0,3849620,6095362,104.0,total
liquor,2277239.0,5554502.0,57909682,58198256.0,288574,4589192,109.0,current
liquor,320470.0,351286.0,4932771,5039888.0,107117,287252,94.0,prior
liquor,2597709.0,5905788.0,62842454,63238144.0,395690,4301941,107.0,total
pilots,548700.0,3583466.0,2379494,8343633.0,5964139,3010506,44.0,total
other_nontax,,,2557,,2557,2557,,total
total_revenue,53079741.0,95767941.0,1081393588,1093607299.0,12213711,25575253,98.0,total
