name,oct_fy21,oct_fy20,fy21_ytd,fy20_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,6969625,4908575,33683003,23743519,9939484,747163997,4,current
real_estate,2673199,3605723,10766940,15127019,4360080,33103060,25,prior
real_estate,9642824,8514298,44449942,38870538,5579404,780267058,5,total
school_income,2691998,2539865,16989480,4243102,12746378,29960268,36,current
school_income,110665,101062,258361,445292,186931,1197615,18,prior
school_income,2802663,2640926,17247841,4688394,12559447,31157883,36,total
use_and_occupancy,14283579,14206181,54582019,62289431,7707412,109000081,33,current
use_and_occupancy,595414,412438,1353761,2331064,977303,6846239,17,prior
use_and_occupancy,14878993,14618619,55935780,64620495,8684715,115846320,33,total
liquor,2807995,6449969,8781771,26573762,17791992,62819029,12,current
liquor,150740,433820,1126691,1256376,129685,4093332,22,prior
liquor,2958735,6883789,9908461,27830138,17921677,66912362,13,total
other_nontax,2469,37100,390481,441823,51342,5238196,7,total
total_revenue,30285684,32694732,127932505,136451388,8518883,999421818,11,total
