category,fiscal_month,amount,fiscal_year,quarter,month
Payroll,1,115.0,2023,3,7
Employee Benefits,1,53.9,2023,3,7
Pension,1,0.4,2023,3,7
Contracts / Leases,1,40.0,2023,3,7
Materials / Equipment,1,1.3,2023,3,7
Contributions / Indemnities,1,7.1,2023,3,7
Short-Term Debt Service,1,0.0,2023,3,7
Long-Term Debt Service,1,123.7,2023,3,7
Interfund Charges,1,0.4,2023,3,7
Advances / Labor Obligations,1,0.0,2023,3,7
Current Year Appropriation,1,341.7,2023,3,7
Prior Year Encumbrances,1,56.1,2023,3,7
Prior Year Vouchers Payable,1,108.3,2023,3,7
Total Disbursements,1,506.1,2023,3,7
Payroll,2,145.7,2023,3,8
Employee Benefits,2,62.5,2023,3,8
Pension,2,-4.4,2023,3,8
Contracts / Leases,2,51.2,2023,3,8
Materials / Equipment,2,6.1,2023,3,8
Contributions / Indemnities,2,16.5,2023,3,8
Short-Term Debt Service,2,0.0,2023,3,8
Long-Term Debt Service,2,1.0,2023,3,8
Interfund Charges,2,29.1,2023,3,8
Advances / Labor Obligations,2,0.0,2023,3,8
Current Year Appropriation,2,307.7,2023,3,8
Prior Year Encumbrances,2,47.2,2023,3,8
Prior Year Vouchers Payable,2,-7.2,2023,3,8
Total Disbursements,2,347.6,2023,3,8
Payroll,3,169.2,2023,3,9
Employee Benefits,3,44.1,2023,3,9
Pension,3,11.4,2023,3,9
Contracts / Leases,3,97.1,2023,3,9
Materials / Equipment,3,12.0,2023,3,9
Contributions / Indemnities,3,79.0,2023,3,9
Short-Term Debt Service,3,0.1,2023,3,9
Long-Term Debt Service,3,0.0,2023,3,9
Interfund Charges,3,40.1,2023,3,9
Advances / Labor Obligations,3,0.0,2023,3,9
Current Year Appropriation,3,452.9,2023,3,9
Prior Year Encumbrances,3,22.7,2023,3,9
Prior Year Vouchers Payable,3,16.3,2023,3,9
Total Disbursements,3,492.0,2023,3,9
Payroll,4,144.5,2023,3,10
Employee Benefits,4,65.1,2023,3,10
Pension,4,79.9,2023,3,10
Contracts / Leases,4,71.7,2023,3,10
Materials / Equipment,4,5.7,2023,3,10
Contributions / Indemnities,4,16.5,2023,3,10
Short-Term Debt Service,4,0.0,2023,3,10
Long-Term Debt Service,4,6.5,2023,3,10
Interfund Charges,4,0.2,2023,3,10
