category,fiscal_month,amount
general,1,707.4
grants_revenue,1,833.6
community_development,1,-3.7
vehicle_rental_tax,1,8.4
hospital_assessment_fund,1,14.8
housing_trust_fund,1,83.0
budget_stabilization_fund,1,0.0
other_funds,1,10.8
total_operating_funds,1,1654.2
capital_improvement,1,125.2
industrial_and_commercial_dev,1,10.2
total_capital_funds,1,135.5
total_fund_equity,1,1789.7
general,2,833.3
grants_revenue,2,945.8
community_development,2,-6.3
vehicle_rental_tax,2,9.1
hospital_assessment_fund,2,17.6
housing_trust_fund,2,80.9
budget_stabilization_fund,2,0.0
other_funds,2,10.8
total_operating_funds,2,1891.3
capital_improvement,2,488.1
industrial_and_commercial_dev,2,10.2
total_capital_funds,2,498.4
total_fund_equity,2,2389.6
general,3,792.9
grants_revenue,3,882.2
community_development,3,-3.5
vehicle_rental_tax,3,2.9
hospital_assessment_fund,3,27.7
housing_trust_fund,3,80.2
budget_stabilization_fund,3,0.0
other_funds,3,10.6
total_operating_funds,3,1793.0
capital_improvement,3,462.4
industrial_and_commercial_dev,3,10.2
total_capital_funds,3,472.6
total_fund_equity,3,2265.6
general,4,596.7
grants_revenue,4,880.8
community_development,4,-13.8
vehicle_rental_tax,4,3.6
hospital_assessment_fund,4,15.3
housing_trust_fund,4,78.1
budget_stabilization_fund,4,0.0
other_funds,4,10.5
total_operating_funds,4,1571.1
capital_improvement,4,456.6
industrial_and_commercial_dev,4,10.2
total_capital_funds,4,466.9
total_fund_equity,4,2037.9
general,5,521.6
grants_revenue,5,640.1
community_development,5,-4.2
vehicle_rental_tax,5,4.3
hospital_assessment_fund,5,15.0
housing_trust_fund,5,76.0
budget_stabilization_fund,5,0.0
other_funds,5,10.3
total_operating_funds,5,1263.0
capital_improvement,5,447.1
industrial_and_commercial_dev,5,10.2
total_capital_funds,5,457.4
total_fund_equity,5,1720.4
general,6,410.3
grants_revenue,6,587.7
community_development,6,-6.5
vehicle_rental_tax,6,5.0
hospital_assessment_fund,6,32.1
housing_trust_fund,6,73.9
budget_stabilization_fund,6,0.0
other_funds,6,10.2
total_operating_funds,6,1112.6
capital_improvement,6,437.6
industrial_and_commercial_dev,6,10.2
total_capital_funds,6,447.9
total_fund_equity,6,1560.5
general,7,409.4
grants_revenue,7,652.3
community_development,7,-8.1
vehicle_rental_tax,7,5.7
hospital_assessment_fund,7,17.2
housing_trust_fund,7,71.8
budget_stabilization_fund,7,0.0
other_funds,7,10.0
total_operating_funds,7,1158.2
capital_improvement,7,428.1
industrial_and_commercial_dev,7,10.2
total_capital_funds,7,438.4
total_fund_equity,7,1596.5
general,8,628.3
grants_revenue,8,509.7
community_development,8,-4.9
vehicle_rental_tax,8,6.4
hospital_assessment_fund,8,16.2
housing_trust_fund,8,69.7
budget_stabilization_fund,8,0.0
other_funds,8,9.9
total_operating_funds,8,1235.2
capital_improvement,8,418.6
industrial_and_commercial_dev,8,10.2
total_capital_funds,8,428.9
total_fund_equity,8,1664.0
general,9,390.7
grants_revenue,9,469.7
community_development,9,-3.8
vehicle_rental_tax,9,7.1
hospital_assessment_fund,9,22.5
housing_trust_fund,9,67.6
budget_stabilization_fund,9,0.0
other_funds,9,9.7
total_operating_funds,9,963.5
capital_improvement,9,409.1
industrial_and_commercial_dev,9,10.2
total_capital_funds,9,419.4
total_fund_equity,9,1382.8
general,10,760.3
grants_revenue,10,594.7
community_development,10,1.4
vehicle_rental_tax,10,7.8
hospital_assessment_fund,10,17.2
housing_trust_fund,10,65.5
budget_stabilization_fund,10,0.0
other_funds,10,9.6
total_operating_funds,10,1456.4
capital_improvement,10,399.6
industrial_and_commercial_dev,10,10.2
total_capital_funds,10,409.9
total_fund_equity,10,1866.3
general,11,794.7
grants_revenue,11,1241.3
community_development,11,2.0
vehicle_rental_tax,11,8.5
hospital_assessment_fund,11,43.7
housing_trust_fund,11,63.4
budget_stabilization_fund,11,0.0
other_funds,11,9.4
total_operating_funds,11,2162.9
capital_improvement,11,390.1
industrial_and_commercial_dev,11,10.2
total_capital_funds,11,400.4
total_fund_equity,11,2563.3
general,12,798.8
grants_revenue,12,1149.2
community_development,12,-6.7
vehicle_rental_tax,12,9.2
hospital_assessment_fund,12,19.2
housing_trust_fund,12,61.3
budget_stabilization_fund,12,0.0
other_funds,12,9.3
total_operating_funds,12,2040.2
capital_improvement,12,380.6
industrial_and_commercial_dev,12,10.2
total_capital_funds,12,390.9
total_fund_equity,12,2431.1
