category,fiscal_month,amount
excess_of_receipts_over_disbursements,1,-37.4
opening_balance,1,-30.6
tran,1,285.0
closing_balance,1,217.0
excess_of_receipts_over_disbursements,2,88.8
opening_balance,2,217.0
tran,2,0.0
closing_balance,2,305.8
excess_of_receipts_over_disbursements,3,-8.5
opening_balance,3,305.8
tran,3,0.0
closing_balance,3,297.3
excess_of_receipts_over_disbursements,4,10.8
opening_balance,4,297.3
tran,4,0.0
closing_balance,4,308.1
excess_of_receipts_over_disbursements,5,-47.2
opening_balance,5,308.1
tran,5,0.0
closing_balance,5,260.9
excess_of_receipts_over_disbursements,6,-105.5
opening_balance,6,260.9
tran,6,0.0
closing_balance,6,155.4
excess_of_receipts_over_disbursements,7,9.1
opening_balance,7,155.4
tran,7,0.0
closing_balance,7,164.5
excess_of_receipts_over_disbursements,8,171.0
opening_balance,8,164.5
tran,8,0.0
closing_balance,8,335.6
excess_of_receipts_over_disbursements,9,-124.9
opening_balance,9,335.6
tran,9,0.0
closing_balance,9,210.6
excess_of_receipts_over_disbursements,10,11.6
opening_balance,10,210.6
tran,10,0.0
closing_balance,10,222.3
excess_of_receipts_over_disbursements,11,95.5
opening_balance,11,222.3
tran,11,-285.0
closing_balance,11,32.7
excess_of_receipts_over_disbursements,12,71.3
opening_balance,12,32.7
tran,12,0.0
closing_balance,12,104.0
