category,fiscal_month,amount
real_estate_tax,1,4.1
total_wage_earnings_net_profits,1,91.4
realty_transfer_tax,1,19.7
sales_tax,1,21.4
business_income_and_receipts_tax,1,2.4
other_taxes,1,7.7
locally_generated_nontax,1,20.5
total_other_governments,1,0.2
total_pica_other_governments,1,23.9
interfund_transfers,1,8.4
total_current_revenue,1,199.7
collection_of_prior_year_revenue,1,112.2
other_fund_balance_adjustments,1,0.0
total_cash_receipts,1,311.9
real_estate_tax,2,8.6
total_wage_earnings_net_profits,2,109.7
realty_transfer_tax,2,12.5
sales_tax,2,23.4
business_income_and_receipts_tax,2,13.0
other_taxes,2,12.4
locally_generated_nontax,2,21.2
total_other_governments,2,101.0
total_pica_other_governments,2,27.4
interfund_transfers,2,0.2
total_current_revenue,2,329.4
collection_of_prior_year_revenue,2,57.0
other_fund_balance_adjustments,2,0.0
total_cash_receipts,2,386.4
real_estate_tax,3,3.7
total_wage_earnings_net_profits,3,78.8
realty_transfer_tax,3,7.5
sales_tax,3,20.7
business_income_and_receipts_tax,3,11.4
other_taxes,3,9.9
locally_generated_nontax,3,19.6
total_other_governments,3,91.8
total_pica_other_governments,3,13.4
interfund_transfers,3,0.1
total_current_revenue,3,256.9
collection_of_prior_year_revenue,3,0.0
other_fund_balance_adjustments,3,0.0
total_cash_receipts,3,256.9
real_estate_tax,4,4.0
total_wage_earnings_net_profits,4,92.9
realty_transfer_tax,4,7.9
sales_tax,4,19.4
business_income_and_receipts_tax,4,8.4
other_taxes,4,6.2
locally_generated_nontax,4,13.8
total_other_governments,4,114.6
total_pica_other_governments,4,29.0
interfund_transfers,4,1.1
total_current_revenue,4,297.3
collection_of_prior_year_revenue,4,0.0
other_fund_balance_adjustments,4,0.0
total_cash_receipts,4,297.3
real_estate_tax,5,4.1
total_wage_earnings_net_profits,5,100.4
realty_transfer_tax,5,9.3
sales_tax,5,21.3
business_income_and_receipts_tax,5,-0.7
other_taxes,5,7.7
locally_generated_nontax,5,24.9
total_other_governments,5,13.4
total_pica_other_governments,5,25.4
interfund_transfers,5,0.2
total_current_revenue,5,206.0
collection_of_prior_year_revenue,5,0.0
other_fund_balance_adjustments,5,0.0
total_cash_receipts,5,206.0
real_estate_tax,6,11.5
total_wage_earnings_net_profits,6,89.9
realty_transfer_tax,6,9.6
sales_tax,6,18.6
business_income_and_receipts_tax,6,9.2
other_taxes,6,7.7
locally_generated_nontax,6,22.1
total_other_governments,6,22.3
total_pica_other_governments,6,23.9
interfund_transfers,6,0.0
total_current_revenue,6,214.8
collection_of_prior_year_revenue,6,0.0
other_fund_balance_adjustments,6,0.0
total_cash_receipts,6,214.8
real_estate_tax,7,34.2
total_wage_earnings_net_profits,7,120.0
realty_transfer_tax,7,7.6
sales_tax,7,19.5
business_income_and_receipts_tax,7,7.6
other_taxes,7,6.6
locally_generated_nontax,7,17.9
total_other_governments,7,17.0
total_pica_other_governments,7,24.1
interfund_transfers,7,0.0
total_current_revenue,7,254.5
collection_of_prior_year_revenue,7,0.0
other_fund_balance_adjustments,7,0.0
total_cash_receipts,7,254.5
real_estate_tax,8,269.6
total_wage_earnings_net_profits,8,88.7
realty_transfer_tax,8,5.8
sales_tax,8,22.8
business_income_and_receipts_tax,8,7.4
other_taxes,8,6.4
locally_generated_nontax,8,24.1
total_other_governments,8,5.9
total_pica_other_governments,8,26.3
interfund_transfers,8,0.0
total_current_revenue,8,457.0
collection_of_prior_year_revenue,8,0.0
other_fund_balance_adjustments,8,0.0
total_cash_receipts,8,457.0
real_estate_tax,9,122.6
total_wage_earnings_net_profits,9,103.6
realty_transfer_tax,9,8.0
sales_tax,9,18.1
business_income_and_receipts_tax,9,41.8
other_taxes,9,8.2
locally_generated_nontax,9,29.5
total_other_governments,9,102.6
total_pica_other_governments,9,25.2
interfund_transfers,9,0.2
total_current_revenue,9,459.8
collection_of_prior_year_revenue,9,0.0
other_fund_balance_adjustments,9,0.0
total_cash_receipts,9,459.8
real_estate_tax,10,14.3
total_wage_earnings_net_profits,10,99.4
realty_transfer_tax,10,7.5
sales_tax,10,19.7
business_income_and_receipts_tax,10,175.3
other_taxes,10,13.8
locally_generated_nontax,10,15.6
total_other_governments,10,14.3
total_pica_other_governments,10,31.0
interfund_transfers,10,0.0
total_current_revenue,10,390.9
collection_of_prior_year_revenue,10,0.0
other_fund_balance_adjustments,10,0.0
total_cash_receipts,10,390.9
real_estate_tax,11,5.9
total_wage_earnings_net_profits,11,104.6
realty_transfer_tax,11,8.9
sales_tax,11,22.7
business_income_and_receipts_tax,11,105.8
other_taxes,11,7.6
locally_generated_nontax,11,21.4
total_other_governments,11,4.3
total_pica_other_governments,11,30.2
interfund_transfers,11,10.1
total_current_revenue,11,321.5
collection_of_prior_year_revenue,11,0.0
other_fund_balance_adjustments,11,0.0
total_cash_receipts,11,321.5
real_estate_tax,12,7.5
total_wage_earnings_net_profits,12,90.7
realty_transfer_tax,12,12.5
sales_tax,12,20.5
business_income_and_receipts_tax,12,3.9
other_taxes,12,6.9
locally_generated_nontax,12,29.6
total_other_governments,12,140.1
total_pica_other_governments,12,17.2
interfund_transfers,12,14.8
total_current_revenue,12,343.7
collection_of_prior_year_revenue,12,0.0
other_fund_balance_adjustments,12,0.0
total_cash_receipts,12,343.7
real_estate_tax,13,490.1
total_wage_earnings_net_profits,13,1170.1
realty_transfer_tax,13,116.8
sales_tax,13,248.1
business_income_and_receipts_tax,13,385.5
other_taxes,13,101.1
locally_generated_nontax,13,260.2
total_other_governments,13,627.6
total_pica_other_governments,13,297.0
interfund_transfers,13,35.1
total_current_revenue,13,3731.6
collection_of_prior_year_revenue,13,169.2
other_fund_balance_adjustments,13,0.0
total_cash_receipts,13,3900.8
