category,fiscal_month,amount
payroll,1,84.7
employee_benefits,1,34.0
pension,1,3.7
purchases_of_services,1,35.1
materials_equipment,1,2.6
contributions_indemnities,1,16.6
debt_service_short,1,0.0
debt_service_long,1,8.2
interfund_charges,1,0.3
advances_misc_payments,1,0.0
current_year_appropriation,1,185.1
prior_year_encumbrances,1,39.3
prior_year_vouchers_payable,1,20.1
total_disbursements,1,244.4
payroll,2,108.3
employee_benefits,2,42.6
pension,2,-5.0
purchases_of_services,2,60.7
materials_equipment,2,4.6
contributions_indemnities,2,3.0
debt_service_short,2,0.0
debt_service_long,2,64.0
interfund_charges,2,0.0
advances_misc_payments,2,0.0
current_year_appropriation,2,278.1
prior_year_encumbrances,2,17.5
prior_year_vouchers_payable,2,20.4
total_disbursements,2,316.0
payroll,3,105.6
employee_benefits,3,41.0
pension,3,4.7
purchases_of_services,3,58.2
materials_equipment,3,8.3
contributions_indemnities,3,11.0
debt_service_short,3,0.0
debt_service_long,3,0.1
interfund_charges,3,0.0
advances_misc_payments,3,0.0
current_year_appropriation,3,228.9
prior_year_encumbrances,3,11.8
prior_year_vouchers_payable,3,-19.3
total_disbursements,3,221.5
payroll,4,149.2
employee_benefits,4,76.8
pension,4,56.2
purchases_of_services,4,75.2
materials_equipment,4,5.9
contributions_indemnities,4,5.4
debt_service_short,4,0.0
debt_service_long,4,0.0
interfund_charges,4,0.0
advances_misc_payments,4,0.0
current_year_appropriation,4,368.7
prior_year_encumbrances,4,12.2
prior_year_vouchers_payable,4,25.4
total_disbursements,4,406.2
payroll,5,138.6
employee_benefits,5,41.0
pension,5,-1.8
purchases_of_services,5,59.5
materials_equipment,5,5.9
contributions_indemnities,5,82.4
debt_service_short,5,0.0
debt_service_long,5,0.3
interfund_charges,5,0.0
advances_misc_payments,5,0.0
current_year_appropriation,5,325.9
prior_year_encumbrances,5,5.9
prior_year_vouchers_payable,5,0.0
total_disbursements,5,331.9
payroll,6,106.0
employee_benefits,6,39.5
pension,6,3.7
purchases_of_services,6,57.2
materials_equipment,6,6.2
contributions_indemnities,6,44.8
debt_service_short,6,0.0
debt_service_long,6,5.5
interfund_charges,6,0.0
advances_misc_payments,6,27.8
current_year_appropriation,6,290.7
prior_year_encumbrances,6,5.7
prior_year_vouchers_payable,6,0.0
total_disbursements,6,296.4
payroll,7,114.2
employee_benefits,7,43.1
pension,7,3.7
purchases_of_services,7,50.1
materials_equipment,7,6.6
contributions_indemnities,7,3.5
debt_service_short,7,0.0
debt_service_long,7,11.5
interfund_charges,7,0.0
advances_misc_payments,7,1.6
current_year_appropriation,7,234.3
prior_year_encumbrances,7,5.5
prior_year_vouchers_payable,7,0.0
total_disbursements,7,239.8
payroll,8,105.7
employee_benefits,8,39.5
pension,8,122.5
purchases_of_services,8,56.6
materials_equipment,8,5.1
contributions_indemnities,8,3.6
debt_service_short,8,0.0
debt_service_long,8,29.5
interfund_charges,8,0.0
advances_misc_payments,8,1.6
current_year_appropriation,8,364.1
prior_year_encumbrances,8,5.4
prior_year_vouchers_payable,8,0.0
total_disbursements,8,369.5
payroll,9,105.7
employee_benefits,9,39.5
pension,9,372.7
purchases_of_services,9,61.8
materials_equipment,9,5.9
contributions_indemnities,9,10.2
debt_service_short,9,0.0
debt_service_long,9,0.6
interfund_charges,9,0.0
advances_misc_payments,9,1.6
current_year_appropriation,9,597.9
prior_year_encumbrances,9,2.7
prior_year_vouchers_payable,9,0.0
total_disbursements,9,600.5
payroll,10,143.9
employee_benefits,10,54.9
pension,10,110.7
purchases_of_services,10,71.4
materials_equipment,10,7.4
contributions_indemnities,10,3.1
debt_service_short,10,0.0
debt_service_long,10,0.3
interfund_charges,10,0.0
advances_misc_payments,10,1.6
current_year_appropriation,10,393.2
prior_year_encumbrances,10,2.0
prior_year_vouchers_payable,10,0.0
total_disbursements,10,395.2
payroll,11,105.7
employee_benefits,11,39.5
pension,11,-1.8
purchases_of_services,11,50.5
materials_equipment,11,5.9
contributions_indemnities,11,1.0
debt_service_short,11,0.0
debt_service_long,11,0.0
interfund_charges,11,0.3
advances_misc_payments,11,1.6
current_year_appropriation,11,202.8
prior_year_encumbrances,11,1.5
prior_year_vouchers_payable,11,0.0
total_disbursements,11,204.3
payroll,12,130.3
employee_benefits,12,49.8
pension,12,-1.8
purchases_of_services,12,51.5
materials_equipment,12,6.2
contributions_indemnities,12,1.0
debt_service_short,12,5.0
debt_service_long,12,4.6
interfund_charges,12,9.0
advances_misc_payments,12,1.6
current_year_appropriation,12,257.1
prior_year_encumbrances,12,1.4
prior_year_vouchers_payable,12,0.0
total_disbursements,12,258.5
payroll,13,1397.6
employee_benefits,13,541.4
pension,13,667.5
purchases_of_services,13,687.8
materials_equipment,13,70.6
contributions_indemnities,13,185.5
debt_service_short,13,5.0
debt_service_long,13,124.5
interfund_charges,13,9.6
advances_misc_payments,13,37.2
current_year_appropriation,13,3726.8
prior_year_encumbrances,13,110.8
prior_year_vouchers_payable,13,46.6
total_disbursements,13,3884.2
