dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,dept_code,abbreviation,report_quarter,report_fiscal_year,dept_major_code
Auditing (City Controller's Office),General,109,0,2022,Actual,YTD,2022-03-31,109,City Controller's Office,61,,3,2022,61
Board of Ethics,General,9,0,2022,Actual,YTD,2022-03-31,9,Board of Ethics,45,,3,2022,45
Board of Pensions,General,0,0,2022,Actual,YTD,2022-03-31,0,Board of Pensions,53,Pensions,3,2022,53
Board of Revision of Taxes,General,14,0,2022,Actual,YTD,2022-03-31,14,Board of Revision of Taxes,63,BRT,3,2022,63
City Commissioners (Election Board),General,118,0,2022,Actual,YTD,2022-03-31,118,City Commissioner's Office,73,City Commissioners,3,2022,73
City Council,General,178,0,2022,Actual,YTD,2022-03-31,178,City Council,01,,3,2022,01
City Treasurer,General,17,0,2022,Actual,YTD,2022-03-31,17,Office of the City Treasurer,40,City Treasurer,3,2022,40
Civil Service Commission,General,2,0,2022,Actual,YTD,2022-03-31,2,Civil Service Commission,55,,3,2022,55
Commerce,General,31,0,2022,Actual,YTD,2022-03-31,31,Office of the Director of Commerce,42,Commerce,3,2022,42
Finance,General,118,0,2022,Actual,YTD,2022-03-31,118,Office of the Director of Finance,35,Finance,3,2022,35
First Judicial District,General,1693,0,2022,Actual,YTD,2022-03-31,1693,First Judicial District,84,FJD,3,2022,84
Fleet Services,General,261,0,2022,Actual,YTD,2022-03-31,261,Office of Fleet Management,25,Fleet,3,2022,25
Free Library,General,620,0,2022,Actual,YTD,2022-03-31,620,The Free Library of Philadelphia,52,Free Library,3,2022,52
Human Relations Commission,General,31,0,2022,Actual,YTD,2022-03-31,31,Commission on Human Relations,54,Human Relations,3,2022,54
Human Services (1),General,492,0,2022,Actual,YTD,2022-03-31,492,Department of Human Services,22,DHS,3,2022,22
Labor,General,25,0,2022,Actual,YTD,2022-03-31,25,Labor,03,,3,2022,03
Law,General,171,0,2022,Actual,YTD,2022-03-31,171,Law Department,44,Law,3,2022,44
Licenses & Inspections,General,359,0,2022,Actual,YTD,2022-03-31,359,Department of Licenses and Inspections,26,L&I,3,2022,26
L&I-Board of Building Standards,General,1,0,2022,Actual,YTD,2022-03-31,1,L&I: Board of Building and Standards,29,,3,2022,29
L&I-Board of L & I Review,General,2,0,2022,Actual,YTD,2022-03-31,2,L&I: Board of Review,27,,3,2022,27
Managing Director's Office,General,305,0,2022,Actual,YTD,2022-03-31,305,Managing Director's Office,10,MDO,3,2022,10
Mayor's Office,General,59,0,2022,Actual,YTD,2022-03-31,59,Mayor's Office,05,Mayor,3,2022,05
Mayor's Office-Comm. Empowerment & Opp.,General,0,0,2022,Actual,YTD,2022-03-31,0,Mayor's Office of Community Empowerment and Opportunity,08,CEO,3,2022,08
Mural Arts Program,General,8,0,2022,Actual,YTD,2022-03-31,8,Mural Arts Program,50,Mural Arts,3,2022,50
Office of Behavioral Hith & Intellectual disAbility,General,23,0,2022,Actual,YTD,2022-03-31,23,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,3,2022,15
Office of the Chief Administrative Officer,General,66,0,2022,Actual,YTD,2022-03-31,66,Office of the Chief Administrative Officer,65,CAO,3,2022,65
Office of Children and Families,General,2,0,2022,Actual,YTD,2022-03-31,2,Office of Children and Families,66,OCF,3,2022,66
Office of Homeless Services,General,120,0,2022,Actual,YTD,2022-03-31,120,Office of Homeless Services,24,OHS,3,2022,24
Office of Human Resources,General,72,0,2022,Actual,YTD,2022-03-31,72,Office of Human Resources,56,OHR,3,2022,56
Office of Innovation and Technology,General,303,0,2022,Actual,YTD,2022-03-31,303,Office of Innovation and Technology,04,OIT,3,2022,04
Office of the Inspector General,General,16,0,2022,Actual,YTD,2022-03-31,16,Office of the Inspector General,48,OIG,3,2022,48
Office of Property Assessment,General,184,0,2022,Actual,YTD,2022-03-31,184,Office of Property Assessment,59,OPA,3,2022,59
Office of Sustainability,General,11,0,2022,Actual,YTD,2022-03-31,11,Office of Sustainability,49,Sustainability,3,2022,49
Parks and Recreation,General,601,0,2022,Actual,YTD,2022-03-31,601,Department of Parks and Recreation,16,Parks & Recreation,3,2022,16
Planning & Development,General,54,0,2022,Actual,YTD,2022-03-31,54,Department of Planning and Development,72,Planning & Development,3,2022,72
Prisons,General,1427,0,2022,Actual,YTD,2022-03-31,1427,Philadelphia Prison System,23,Prisons,3,2022,23
Procurement,General,35,0,2022,Actual,YTD,2022-03-31,35,Procurement Department,38,Procurement,3,2022,38
Public Health,General,705,0,2022,Actual,YTD,2022-03-31,705,Department of Public Health,14,Public Health,3,2022,14
Public Property,General,136,0,2022,Actual,YTD,2022-03-31,136,Department of Public Property,20,Public Property,3,2022,20
Records,General,48,0,2022,Actual,YTD,2022-03-31,48,Department of Records,31,Records,3,2022,31
Register of Wills,General,67,0,2022,Actual,YTD,2022-03-31,67,Register of Wills,68,,3,2022,68
Revenue,General,329,0,2022,Actual,YTD,2022-03-31,329,Department of Revenue,36,Revenue,3,2022,36
Sheriff,General,343,0,2022,Actual,YTD,2022-03-31,343,Office of the Sheriff,70,Sheriff,3,2022,70
Streets,General,2078,0,2022,Actual,YTD,2022-03-31,2078,Streets Department,12,Streets,3,2022,12
Water,General,0,0,2022,Actual,YTD,2022-03-31,0,Water Department,28,Water,3,2022,28
"Water,Sewer & Stormwater Rate Board",General,0,0,2022,Actual,YTD,2022-03-31,0,"Water, Sewer, and Stormwater Rate Board",67,,3,2022,67
Auditing (City Controller's Office),Other,0,0,2022,Actual,YTD,2022-03-31,0,City Controller's Office,61,,3,2022,61
Board of Ethics,Other,0,0,2022,Actual,YTD,2022-03-31,0,Board of Ethics,45,,3,2022,45
Board of Pensions,Other,58,0,2022,Actual,YTD,2022-03-31,58,Board of Pensions,53,Pensions,3,2022,53
Board of Revision of Taxes,Other,0,0,2022,Actual,YTD,2022-03-31,0,Board of Revision of Taxes,63,BRT,3,2022,63
City Commissioners (Election Board),Other,0,0,2022,Actual,YTD,2022-03-31,0,City Commissioner's Office,73,City Commissioners,3,2022,73
City Council,Other,0,0,2022,Actual,YTD,2022-03-31,0,City Council,01,,3,2022,01
City Treasurer,Other,0,0,2022,Actual,YTD,2022-03-31,0,Office of the City Treasurer,40,City Treasurer,3,2022,40
Civil Service Commission,Other,0,0,2022,Actual,YTD,2022-03-31,0,Civil Service Commission,55,,3,2022,55
Commerce,Other,627,0,2022,Actual,YTD,2022-03-31,627,Office of the Director of Commerce,42,Commerce,3,2022,42
Finance,Other,0,0,2022,Actual,YTD,2022-03-31,0,Office of the Director of Finance,35,Finance,3,2022,35
First Judicial District,Other,408,0,2022,Actual,YTD,2022-03-31,408,First Judicial District,84,FJD,3,2022,84
Fleet Services,Other,59,0,2022,Actual,YTD,2022-03-31,59,Office of Fleet Management,25,Fleet,3,2022,25
Free Library,Other,10,0,2022,Actual,YTD,2022-03-31,10,The Free Library of Philadelphia,52,Free Library,3,2022,52
Human Relations Commission,Other,0,0,2022,Actual,YTD,2022-03-31,0,Commission on Human Relations,54,Human Relations,3,2022,54
Human Services (1),Other,970,0,2022,Actual,YTD,2022-03-31,970,Department of Human Services,22,DHS,3,2022,22
Labor,Other,0,0,2022,Actual,YTD,2022-03-31,0,Labor,03,,3,2022,03
Law,Other,51,0,2022,Actual,YTD,2022-03-31,51,Law Department,44,Law,3,2022,44
Licenses & Inspections,Other,8,0,2022,Actual,YTD,2022-03-31,8,Department of Licenses and Inspections,26,L&I,3,2022,26
L&I-Board of Building Standards,Other,0,0,2022,Actual,YTD,2022-03-31,0,L&I: Board of Building and Standards,29,,3,2022,29
