full_time_positions,class_100_total,class_100_ot,fiscal_year,variable,time_period,dept_name_raw,as_of_date,dept_code,dept_name,abbreviation
124,8650965,73243,2019,Actual,Full Year,Auditing,2019-06-30,61,City Controller's Office,
121,9466389,60388,2020,Actual,Full Year,Auditing,2020-06-30,61,City Controller's Office,
118,9311029,39619,2021,Actual,Full Year,Auditing,2021-06-30,61,City Controller's Office,
114,4848009,40000,2022,Target Budget,YTD,Auditing,2021-12-31,61,City Controller's Office,
114,4848009,11478,2022,Actual,YTD,Auditing,2021-12-31,61,City Controller's Office,
135,9330839,80000,2022,Adopted Budget,Full Year,Auditing,2021-12-31,61,City Controller's Office,
135,9330839,80000,2022,Target Budget,Full Year,Auditing,2021-12-31,61,City Controller's Office,
135,9785988,50000,2022,Current Projection,Full Year,Auditing,2021-12-31,61,City Controller's Office,
10,875033,0,2019,Actual,Full Year,Board of Ethics,2019-06-30,45,Board of Ethics,
7,922164,0,2020,Actual,Full Year,Board of Ethics,2020-06-30,45,Board of Ethics,
9,801988,0,2021,Actual,Full Year,Board of Ethics,2021-06-30,45,Board of Ethics,
8,402208,0,2022,Target Budget,YTD,Board of Ethics,2021-12-31,45,Board of Ethics,
8,402208,0,2022,Actual,YTD,Board of Ethics,2021-12-31,45,Board of Ethics,
10,915196,0,2022,Adopted Budget,Full Year,Board of Ethics,2021-12-31,45,Board of Ethics,
10,915196,0,2022,Target Budget,Full Year,Board of Ethics,2021-12-31,45,Board of Ethics,
10,938750,0,2022,Current Projection,Full Year,Board of Ethics,2021-12-31,45,Board of Ethics,
11,928286,190,2019,Actual,Full Year,Board of Revision of Taxes,2019-06-30,63,Board of Revision of Taxes,BRT
14,1044789,1967,2020,Actual,Full Year,Board of Revision of Taxes,2020-06-30,63,Board of Revision of Taxes,BRT
15,1002561,45,2021,Actual,Full Year,Board of Revision of Taxes,2021-06-30,63,Board of Revision of Taxes,BRT
14,464803,1500,2022,Target Budget,YTD,Board of Revision of Taxes,2021-12-31,63,Board of Revision of Taxes,BRT
14,464803,1801,2022,Actual,YTD,Board of Revision of Taxes,2021-12-31,63,Board of Revision of Taxes,BRT
