dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_code,dept_name,abbreviation
Atwater Kent Museum,General,2,0,2016,Actual,YTD,2015-12-31,2,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),General,132,0,2016,Actual,YTD,2015-12-31,132,61,City Controller's Office,
Board of Ethics,General,10,0,2016,Actual,YTD,2015-12-31,10,45,Board of Ethics,
Board of Pensions,General,0,0,2016,Actual,YTD,2015-12-31,0,53,Board of Pensions,Pensions
Board of Revision of Taxes,General,12,0,2016,Actual,YTD,2015-12-31,12,63,Board of Revision of Taxes,BRT
City Commissioners (Election Board),General,93,0,2016,Actual,YTD,2015-12-31,93,73,City Commissioner's Office,City Commissioners
City Council,General,175,0,2016,Actual,YTD,2015-12-31,175,01,City Council,
City Planning Commission,General,28,0,2016,Actual,YTD,2015-12-31,28,51,City Planning Commission,
City Representative,General,6,0,2016,Actual,YTD,2015-12-31,6,41,Office of the City Representative,City Rep
City Treasurer,General,15,0,2016,Actual,YTD,2015-12-31,15,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,General,2,0,2016,Actual,YTD,2015-12-31,2,55,Civil Service Commission,
Commerce,General,21,0,2016,Actual,YTD,2015-12-31,21,42,Office of the Director of Commerce,Commerce
Finance,General,162,0,2016,Actual,YTD,2015-12-31,162,35,Office of the Director of Finance,Finance
First Judicial District,General,1815,0,2016,Actual,YTD,2015-12-31,1815,84,First Judicial District,FJD
Fleet Management,General,265,0,2016,Actual,YTD,2015-12-31,265,25,Office of Fleet Management,Fleet
Free Library,General,647,0,2016,Actual,YTD,2015-12-31,647,52,The Free Library of Philadelphia,Free Library
Historical Commission,General,5,0,2016,Actual,YTD,2015-12-31,5,32,Historical Commission,
Human Relations Commission,General,32,0,2016,Actual,YTD,2015-12-31,32,54,Commission on Human Relations,Human Relations
Human Services (1),General,395,0,2016,Actual,YTD,2015-12-31,395,22,Department of Human Services,DHS
"Labor Relations, Mayor's Office of",General,8,0,2016,Actual,YTD,2015-12-31,8,03,Labor,
Law,General,124,0,2016,Actual,YTD,2015-12-31,124,44,Law Department,Law
Licenses & Inspections,General,332,0,2016,Actual,YTD,2015-12-31,332,26,Department of Licenses and Inspections,L&I
L&I-Board of Building Standards,General,1,0,2016,Actual,YTD,2015-12-31,1,29,L&I: Board of Building and Standards,
L&I-Board of L & I Review,General,2,0,2016,Actual,YTD,2015-12-31,2,27,L&I: Board of Review,
L&I-Zoning Board of Adjustment,General,5,0,2016,Actual,YTD,2015-12-31,5,30,Zoning Board of Adjustments,ZBA
Managing Director's Office,General,265,0,2016,Actual,YTD,2015-12-31,265,10,Managing Director's Office,MDO
Mayor's Office,General,41,0,2016,Actual,YTD,2015-12-31,41,05,Mayor's Office,Mayor
Mayor's Off. of Comm Empowerment/Oppor.,General,0,0,2016,Actual,YTD,2015-12-31,0,08,Mayor's Office of Community Empowerment and Opportunity,CEO
Mayor's Office of Transportation & Utilities,General,10,0,2016,Actual,YTD,2015-12-31,10,46,Mayor's Office of Transportation and Utilities,
Mural Arts Program,General,11,0,2016,Actual,YTD,2015-12-31,11,50,Mural Arts Program,Mural Arts
Office of Arts and Culture,General,4,0,2016,Actual,YTD,2015-12-31,4,58,"Office of Arts, Culture, and the Creative Economy",Arts & Culture
Office of Behavioral Hith/Intel. disAbility,General,16,0,2016,Actual,YTD,2015-12-31,16,15,Behavioral Health and Intellectual Disability Services,DBH/IDS
Office of Housing & Comm. Development,General,0,0,2016,Actual,YTD,2015-12-31,0,06,Office of Housing and Community Development,
Office of Human Resources,General,83,0,2016,Actual,YTD,2015-12-31,83,56,Office of Human Resources,OHR
Office of Innovation and Technology,General,265,0,2016,Actual,YTD,2015-12-31,265,04,Office of Innovation and Technology,OIT
Office of the Inspector General,General,19,0,2016,Actual,YTD,2015-12-31,19,48,Office of the Inspector General,OIG
Office of Property Assessment,General,181,0,2016,Actual,YTD,2015-12-31,181,59,Office of Property Assessment,OPA
